short_name,airport_name,airport_type,control_tier,confidence
Barcaldine,Barcaldine Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Brisbane,Brisbane International Airport,large_airport,"external (corporatised, Commonwealth airport lease)",confirmed
Gold Coast,Gold Coast Airport,large_airport,"external (corporatised, Commonwealth airport lease)",confirmed
Blackall-Tambo,Blackall Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Cairns,Cairns International Airport,large_airport,"external (corporatised, Commonwealth airport lease)",confirmed
Murweh,Charleville Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Diamantina,Birdsville Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Whitsunday,Hamilton Island Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Diamantina,Bedourie Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Mount Isa,Mount Isa Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Mackay,Mackay Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Boulia,Boulia Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Whitsunday,Proserpine Whitsunday Coast Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Rockhampton,Rockhampton Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Maroochydore,Sunshine Coast Airport,large_airport,"external (corporatised, Commonwealth airport lease)",confirmed
Townsville,Townsville Airport / RAAF Base Townsville,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Central Highlands,Blackwater Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Bundaberg,Bundaberg Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Weipa,Weipa Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Toowoomba,Toowoomba Wellcamp Airport,large_airport,"external (privately owned/built, Wagner Corporation)",confirmed
Western Downs,Chinchilla Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Cloncurry,Cloncurry Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Cook,Cooktown Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Isaac,Clermont Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Paroo,Cunnamulla Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Cook,Coen Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Balonne,Dirranbandi Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Isaac,Dysart Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Central Highlands,Emerald Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Gladstone,Gladstone Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Fraser Coast,Hervey Bay Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Torres Strait Island,Horn Island Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Kowanyama,Kowanyama Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
South Burnett,Kingaroy Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Lockhart River,Lockhart River Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Longreach,Longreach Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Mareeba,Mareeba Airport,medium_airport,likely direct (council-operated regional airport),"plausible — QLD regional councils commonly own their own airport, ownership not checked per airport"
Isaac,Moranbah Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Carpentaria,Normanton Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Quilpie,Quilpie Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Maranoa,Roma Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Bulloo,Thargomindah Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Banana,Thangool Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Barcoo,Windorah Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Winton,Winton Airport,medium_airport,likely direct (council-operated regional airport),"plausible — LGA inferred from airport-name-matches-town convention, not independently verified"
Whitsunday,Hayman Island Resort Seaplane Base,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - Hayman Island is part of the Whitsunday Islands group, not individually verified"
Aurukun,Aurukun Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Torres Strait Island,Badu Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
Burke,Burketown Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Torres Strait Island,Boigu Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
Torres Strait Island,Coconut Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Coconut Island (Poruma) is a Torres Strait outer island under Torres Strait Island Regional Council
Doomadgee,Doomadgee Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Torres Strait Island,Darnley Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
Flinders,Hughenden Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
McKinlay,Julia Creek Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Carpentaria,Karumba Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Torres Strait Island,Kubin Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
Torres Strait Island,Mabuiag Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
Torres Strait Island,Murray Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
UNRESOLVED:Mornington Island Airport,Mornington Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),OPEN QUESTION - Mornington Shire Council may be a real QLD LGA not on the 77-LGA reference list this project has been using; needs checking against the Department of Local Government directory before assuming it is out of scope
Northern Peninsula Area,Northern Peninsula Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Palm Island,Palm Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Pormpuraaw,Pormpuraaw Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Richmond,Richmond Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Balonne,St George Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),"plausible - town/community name matches LGA, not individually verified"
Torres Strait Island,Saibai Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
Torres Strait Island,Warraber Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
Torres Strait Island,Yorke Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
Torres Strait Island,Yam Island Airport,small_airport (OurAirports label) but has scheduled commercial service,likely direct (council/community-operated lifeline airstrip),confirmed - Torres Strait outer island under Torres Strait Island Regional Council
