LGA,Region,Status,Infrastructure Type,Detail,Source(s)
Brisbane City,South East Queensland,Confirmed AI,Traffic management,"$15M, two-year AI corridor traffic-coordination trial (Aug 2026), extending beyond single intersections into the traffic management system itself.",ABC News (21 Aug 2026)
Gold Coast City,South East Queensland,"AI-adjacent (IoT/smart, no AI confirmed)",Flood monitoring,"HiLo flood monitoring sites, FWIN-funded. HiLo markets predictive/AI-enabled sensing generally, but Gold Coast-specific AI decisioning not independently confirmed in sources found.",HiLo Monitoring
Moreton Bay City,South East Queensland,Confirmed AI,Traffic signals; road/pothole detection,"AI-adaptive traffic signal trial (Petrie intersection), expanding to busier intersections. AI dashcam-based pothole detection on waste trucks since 2020; 4,547 of 12,896 pothole repairs AI-flagged in latest 6-month period.",AfMA (Jul 2026); CarExpert (Jul 2026); newscop.com.au (Feb 2026)
Ipswich City,South East Queensland,No evidence found,,No AI-infrastructure deployment found in sources searched. Council uses AI in a resident-engagement platform (Shape Your Ipswich) for content moderation/summarisation only — not physical infrastructure.,Shape Your Ipswich privacy statement
Logan City,South East Queensland,Confirmed AI,Road maintenance,AI tools deployed to identify road defects as part of $265M roads/drainage capital program (2023-24 budget onward).,Council Magazine (27 Jun 2023)
Redland City,South East Queensland,"AI-adjacent (IoT/smart, no AI confirmed)",Water monitoring; wildlife monitoring,"""Intelligent water monitoring"" and ""smart koala monitoring"" cited as existing smart-city examples in draft Redlands Coast Smart and Connected City Strategy. Sources found do not explicitly confirm an AI (vs rules-based IoT) layer.",Your Say Redlands Coast (Smart and Connected City Strategy page)
Scenic Rim Regional,South East Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Somerset Regional,South East Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Sunshine Coast Regional,South East Queensland,Confirmed AI,Traffic signals; flood/stormwater monitoring; development assessment,"Swarco AI traffic signalling (CCTV+LiDAR) — Australia-first implementation. HiLo AI-enabled flood/surface-water monitoring, the reference deployment in QLD's own AFWI guideline. AI development-assessment tool (mylot.ai) for building applications. Separately, a private $200M NEXTDC ""SC2"" AI-ready data centre is under construction at Maroochydore (not council-operated).",Information Age/ACS (Jul 2026); HiLo Monitoring; Sunshine Coast Council site; Sunshine Coast News (Jul 2026)
Noosa Shire,South East Queensland,Confirmed AI,Road/pathway maintenance,"AI/ML pothole and pavement-damage detection via camera mounted on waste trucks, in partnership with TechnologyOne and Retina Visions.",TechnologyOne press release (11 Dec 2024)
Lockyer Valley Regional,South East Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Bundaberg Regional,Wide Bay-Burnett,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Fraser Coast Regional,Wide Bay-Burnett,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Gympie Regional,Wide Bay-Burnett,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
North Burnett Regional,Wide Bay-Burnett,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
South Burnett Regional,Wide Bay-Burnett,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Cherbourg Aboriginal Shire,Wide Bay-Burnett,Confirmed AI,Waste/recycling facility,"AI computer-vision system (3D cameras + ML) automatically identifying and counting recyclable items at Cherbourg's Material Recovery Facility. Developed with Noosa's Peregian Digital Hub, Advance Queensland and the Indigenous Land and Sea Corporation (2021 onward).",Noosa Shire Council media release (Oct 2021); Council Magazine; South Burnett Times
Toowoomba Regional,Darling Downs-South West,"AI-adjacent (IoT/smart, no AI confirmed)",Water metering,"64,000-68,000 smart water meters (Iota/Boomi/Optus consortium) for real-time usage and leak detection. IoT/automation platform; no AI-specific decisioning confirmed in sources found.",Boomi press release (12 Dec 2023); SWAN Forum case study
Southern Downs Regional,Darling Downs-South West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Western Downs Regional,Darling Downs-South West,No evidence found,,"No council-operated AI-infrastructure deployment found. A private $31.9bn ""Western Downs Digital Park"" AI data centre (Zerra DC, Singapore) is proposed near Dalby — private infrastructure sited in the LGA, not council-deployed AI.",ABC News (24 Aug 2026)
Goondiwindi Regional,Darling Downs-South West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Balonne Shire,Darling Downs-South West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Maranoa Regional,Darling Downs-South West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Murweh Shire,Darling Downs-South West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Paroo Shire,Darling Downs-South West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Quilpie Shire,Darling Downs-South West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Bulloo Shire,Darling Downs-South West,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Rockhampton Regional,Central Queensland,"AI-adjacent (IoT/smart, no AI confirmed) + AI governance partnership",AI governance MoU; water treatment SCADA,"MoU with Queensland AI Hub as strategic partners for AI uptake (governance/awareness, not deployment). Fitzroy River Water: Honeywell Experion PKS SCADA R530 deployed at Glenmore Water Treatment Plant and North Rockhampton Sewage Treatment Plant for automation/remote monitoring — industrial control automation, not confirmed as AI/ML.",Rockhampton Regional Council news release; TheCSRUniverse (Dec 2025)
Livingstone Shire,Central Queensland,Confirmed AI,Road/footpath network survey,AI-based electronic survey technology rolled out to assess road and footpath network condition (Nov 2025).,Central Queensland Today (25 Nov 2025)
Gladstone Regional,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Central Highlands Regional,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Banana Shire,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Woorabinda Aboriginal Shire,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Barcaldine Regional,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Blackall-Tambo Regional,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
Longreach Regional,Central Queensland,No evidence found,,Searched; no AI-infrastructure deployment located in public sources as of 29 Aug 2026. Does not prove absence — only that none was found in sources checked.,
